Timestamp,What are your top 5 Red Bull flavors?
1/29/2024 12:21:03,"Cranberry, Coconut Berry, Juneberry, Pear, Pomegranate"
1/29/2024 12:24:12,"Original, Blueberry, Kiwi-Apple, Tangerine, Strawberry Apricot"
1/29/2024 12:30:23,"Original, Cranberry, Dragon Fruit, Pear Cinnamon, Watermelon"
1/29/2024 12:39:01,"Cranberry, Fig Apple, Juneberry, Pear Cinnamon, Pomegranate"
1/29/2024 13:38:55,"Original, Juneberry, Tropical, Watermelon, Sugar Free"
1/29/2024 13:55:58,"Grapefruit Twist, Kiwi-Apple, Tangerine, Peach-Nectarine, Tropical"
1/29/2024 14:03:38,"Arctic-Berry, Blueberry, Cranberry, Grapefruit Twist, Strawberry Apricot"
1/29/2024 14:09:41,"Original, Juneberry, Peach-Nectarine, Pomegranate, Strawberry Apricot"
1/29/2024 14:47:32,"Original, Juneberry, Pear Cinnamon, Strawberry Apricot"
1/29/2024 14:56:06,"Original, Açaí Berry, Blueberry, Coconut Berry, Juneberry"
1/29/2024 14:56:12,"Original, Arctic-Berry, Tangerine, Pear, Strawberry Apricot"
1/29/2024 15:37:01,"Original, Cranberry, Fig Apple, Peach-Nectarine, Strawberry Apricot"
1/29/2024 15:40:17,"Original, Arctic-Berry, Peach-Nectarine, Pomegranate, Strawberry Apricot"
1/29/2024 16:37:28,"Blueberry, Juneberry, Tangerine, Pear Cinnamon, Sugar free "
1/29/2024 16:45:55,"Original, Arctic-Berry, Beach Breeze, Coconut Berry, Juneberry"
1/29/2024 18:45:42,"Original, Coconut Berry, Juneberry, Peach-Nectarine, Strawberry Apricot"
1/29/2024 18:53:39,"Original, Blueberry, Coconut Berry, Juneberry, Watermelon"
1/29/2024 19:04:07,"Arctic-Berry, Fig Apple, Plum Twist, Strawberry Apricot"
1/29/2024 19:12:18,"Original, Blueberry, Coconut Berry, Fig Apple, Pear Cinnamon"
1/29/2024 20:19:14,"Cranberry, Coconut Berry, Dragon Fruit, Juneberry, Pear Cinnamon"
1/29/2024 20:23:06,"Original, Blueberry, Coconut Berry, Juneberry, Cactus Fruit "
1/29/2024 20:35:43,"Original, Juneberry, Peach-Nectarine, Pear Cinnamon, Strawberry Apricot"
1/29/2024 21:48:44,"Blueberry, Juneberry"
1/29/2024 21:52:12,"Coconut Berry, Juneberry, Pear Cinnamon, Pomegranate, Watermelon"
1/29/2024 22:02:50,"Original, Juneberry, Plum Twist, Tropical, Watermelon"
1/29/2024 22:50:12,"Blueberry, Fig Apple, Juneberry, Pomegranate, Tropical"
1/29/2024 23:25:07,"Dragon Fruit, Tangerine, Peach-Nectarine, Tropical"
1/29/2024 23:49:12,"Original, Peach-Nectarine, Pear Cinnamon, Strawberry Apricot, Watermelon"
1/30/2024 1:01:56,"Original, Dragon Fruit, Juneberry, Pear Cinnamon, Pomegranate"
1/30/2024 1:35:04,"Original, Blueberry, Fig Apple, Pear Cinnamon, Watermelon"
1/30/2024 3:40:40,"Blueberry, Juneberry, Pear Cinnamon, Plum Twist, Pomegranate"
1/30/2024 4:42:30,"Original, Blueberry, Pear Cinnamon, Strawberry Apricot, Watermelon"
1/30/2024 5:16:10,"Dragon Fruit, Fig Apple, Juneberry, Pear Cinnamon, Lychee"
1/30/2024 5:25:09,"Original, Blueberry, Dragon Fruit, Pear Cinnamon, Strawberry Apricot"
1/30/2024 5:31:08,"Blueberry, Cranberry, Fig Apple, Juneberry, Pomegranate"
1/30/2024 5:58:59,"Original, Dragon Fruit, Juneberry, Peach-Nectarine, Watermelon"
1/30/2024 6:32:13,"Coconut Berry, Juneberry, Tangerine, Strawberry Apricot, Tropical"
1/30/2024 6:47:48,"Original, Juneberry, Tangerine, Tropical, Watermelon"
1/30/2024 7:06:32,"Arctic-Berry, Coconut Berry, Dragon Fruit, Peach-Nectarine, Strawberry Apricot"
1/30/2024 7:32:19,Cranberry
1/30/2024 7:38:14,"Blueberry, Dragon Fruit, Kiwi-Apple, Peach-Nectarine, Pear"
1/30/2024 9:05:41,"Dragon Fruit, Tangerine, Peach-Nectarine, Strawberry Apricot, Tropical"
1/30/2024 9:34:40,"Original, Cranberry, Tangerine, Peach-Nectarine, Pear Cinnamon"
1/30/2024 10:13:36,"Blueberry, Coconut Berry, Dragon Fruit, Peach-Nectarine, Pear Cinnamon"
1/30/2024 10:17:12,"Original, Juneberry, Tangerine, Strawberry Apricot, Tropical"
1/30/2024 10:47:24,"Original, Tropical"
1/30/2024 11:06:37,"Açaí Berry, Pear Cinnamon, Strawberry Apricot, Watermelon, Ocean Blast (Lychee)"
1/30/2024 11:47:35,"Juneberry, Pomegranate"
1/30/2024 12:30:04,"Coconut Berry, Dragon Fruit, Fig Apple, Juneberry, Pear Cinnamon"
1/30/2024 12:37:13,"Original, Blueberry, Cranberry, Fig Apple, Kiwi-Apple"
1/30/2024 12:46:32,"Original, Coconut Berry, Dragon Fruit, Juneberry, Strawberry Apricot"
1/30/2024 13:36:11,"Arctic-Berry, Coconut Berry, Dragon Fruit, Juneberry, Pomegranate"
1/30/2024 13:37:03,Arctic-Berry
1/30/2024 13:37:45,Coconut Berry
1/30/2024 14:38:27,"Cranberry, Tangerine, Pomegranate"
1/30/2024 14:49:46,"Original, Cranberry, Tangerine, Peach-Nectarine, Pomegranate"
1/30/2024 15:13:35,"Pomegranate, Strawberry Apricot, Blue Raspberry"
1/30/2024 17:37:55,"Dragon Fruit, Fig Apple, Grapefruit Twist, Limeade (Lime Edition), Tropical"
1/30/2024 19:19:15,"Juneberry, Tangerine, Peach-Nectarine, Tropical"
1/30/2024 21:27:57,"Original, Blueberry, Dragon Fruit, Peach-Nectarine, Strawberry Apricot"
1/30/2024 21:28:57,"Dragon Fruit, Fig Apple, Juneberry"
1/30/2024 21:29:37,"Original, Arctic-Berry, Fig Apple, Limeade (Lime Edition)"
1/30/2024 21:33:56,"Original, Blueberry, Dragon Fruit, Limeade (Lime Edition)"
1/30/2024 21:38:03,"Original, Fig Apple, Strawberry Apricot, Tropical, Watermelon"
1/30/2024 21:42:36,"Beach Breeze, Coconut Berry, Grapefruit Twist, Tangerine, Pear"
1/30/2024 21:46:00,"Original, Cranberry, Coconut Berry, Plum Twist, Strawberry Apricot"
1/30/2024 22:23:24,"Açaí Berry, Tangerine, Watermelon"
1/30/2024 23:11:35,"Original, Açaí Berry, Arctic-Berry, Dragon Fruit, Strawberry Apricot"
1/31/2024 0:18:31,Original
1/31/2024 11:12:50,"Dragon Fruit, Tangerine, Pear Cinnamon"
1/31/2024 19:39:29,"Blueberry, Juneberry, Peach-Nectarine, Strawberry Apricot, Tropical"
